# category overrides: <index>|<active 0/1>|<kind>|<behFlags w1 f2 canFly4 projectile8 rr16 builder32 perStruct64 hasMana128>|<faction>|<linkCat>|<linkRadius>|<footprint>|<hp>|<manaRegen>|<modelPath (custom only)>|<name>
18|1|0|1576|2|-1|6|1|75|5|1,0,0||Faerie|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.12825,1.5,1.5,10.2901,1.3,10,0.5,0.600006,1|0|0|0|0.4,0.7,1,0.55|
19|1|0|4|2|-1|6|1|800|5|1,0,0||Dragon|0||10|0.25|0,0,0|1|0,0,0,0.5,0,0|0.899994|0.251984,1.125,1.8,10.2901,1.3,10,0.5,0.899994,5|0|0|0|0.4,0.7,1,0.55|
20|1|1|1024|2|-1|6|0.419998|250|5|1,0,0||Pig Sty|0||1|1|0,1,0|1|0,0,0,0.5,0,0|0|0.1035,1.5,1.5,12.25,1.3,10,0.5,0.149994,3|0|0|0|0.4,0.7,1,0.55|
22|1|1|1024|2|-1|6|0.419998|250|5|1,0,0||Dragons Nest|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.1035,1.5,1.5,12.25,1.3,10,0.5,0.149994,3|0|0|0|0.4,0.7,1,0.55|
23|1|0|2|0|-1|6|1|50|5|1,0,0||Rotor Drone|0||1|1|0,0,0|1|0,0,0,0.5,0,0|1|0.134995,1.59,1.59,12.6,1.3,10,0.5,0.0599976,2|0|0|0|0.4,0.7,1,0.55|
24|1|0|1024|0|-1|6|1|100|5|1,0,0||Dog Bot|0||1|2|0,0,0|1|0,0,0,0.5,0,0|0|0.125992,1.99501,1.99501,14.1,1.3,10,0.5,0.399994,2|0|0|0|0.4,0.7,1,0.55|
25|1|0|10|0|-1|6|1|300|5|1,0,0||Fighter Jet|0||7|1|0,0,0|1|0,0,0,0.5,0,0|1.1|0.161987,2.40001,2.40001,15.5,1.3,10,0.5,1.39999,2|0|0|0|0.4,0.7,1,0.55|
29|1|3|1024|0|-1|6|1|500|5|1,0,0||Plating Alloy|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.125,3|0|0|0|0.4,0.7,1,0.55|
30|1|3|1024|1|-1|6|1|500|5|1,0,0||Volcano Bongs|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
31|1|0|1024|2|-1|6|1|20|5|1,0,0|models/Zombie.fbx|Zombie|0||1|0.8|0,0,0|1|0,0,0,0.5,0,0|0|0.1035,1.5,1.5,12.25,1.3,10,0.5,0.149994,3|0|0|0|0.4,0.7,1,0.55|
32|1|2|1024|3|-1|6|1|500|5|1,1,0|models/HumanRuins.fbx|Human Civilization|1|Human Ruination|1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.125,3|0|0|0|0.4,0.7,1,0.55|
33|1|0|1024|1|-1|6|1|100|5|1,0,0|models/Slime.fbx|Slime|0||1|1|0,0,0|1|0,0.26,0.2,0.1,1,0.1|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
34|1|0|1034|1|-1|6|1|100|5|1,0,0|models/FlyingSaucer.fbx|Flying Saucer|0||3|1|0,0,0|1|0,0,0,0.5,0,0|1.5|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
35|1|1|1024|1|-1|6|1|500|5|1,0,0|models/NeutrinoSiphon.fbx|Neutrino Siphon|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
36|1|1|1024|1|-1|6|1|500|5|1,0,0|models/DissectionChamber.fbx|Dissection Chamber|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
37|1|1|1024|1|-1|6|1|500|5|1,0,0|models/WarpConduit.fbx|Warp Conduit|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
38|1|0|1024|1|-1|6|1|100|5|1,0,0|models/Walker.fbx|Walker|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
39|1|1|1024|0|-1|6|1|500|5|1,0,0|models/DefenseTurret.fbx|Defense Turret|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.25,3|0|0|0|0.4,0.7,1,0.55|
40|1|0|1026|0|-1|6|1|100|5|1,0,0|models/BattleHelicopter.fbx|Battle Helicopter|0||1|0.33|0,0,0|1|0,0,0,0.5,0,0|1.25|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.25,3|0|0|0|0.4,0.7,1,0.55|
41|1|0|1024|0|-1|6|1|100|5|1,0,0|models/Tank.fbx|Tank|0||50|0.2|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.25,3|0|0|0|0.4,0.7,1,0.55|
42|1|1|1024|0|-1|6|1|500|5|1,0,0|models/ConveyorBelt.fbx|Conveyor Belt|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.25,3|0|0|0|0.4,0.7,1,0.55|
43|1|1|3072|1|-1|6|1|500|5|1,0,0|models/ForceWallNode.fbx|Force Wall Node|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|6|0.720379,0.86019,1,0.488152|
44|1|0|1026|1|-1|6|1|100|5|1,0,0|models/BigShip.fbx|Big Ship|0||1|1|0,0,0|1|0,0,0,0.5,0,0|1|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
45|1|3|64|2|-1|6|1|500|5|1,0,0||Dark Forest|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.1035,1.5,1.5,12.25,1.3,10,0.5,0.149994,3|0|0|0|0.4,0.7,1,0.55|
